ID,review,label
1,jo bhi ap se tou behtar hoon,Negative
2,ya allah meri sister affia ki madad farma,Positive
3,yeh khud chahta a is umar main shadi krna had ogi,Negative
4,tc apky mun xe exe alfax achy nae lgty 😒💃,Negative
5,good,Positive
6,american president john f kennedy aur in ke bhai robert kennedy se bhi marilyn monroe ke affairs ka charcha raha,Negative
7,commission aur kickback ka dor dora raha quomi assase koriyon ke mol farokhat keye gaye,Negative
8,allah pak nazer e bd sy bechye or humesha bohat tarkian dy ameeen,Positive
9,"amoman log samajhte hain ke jhok siyal hi abid ali ki pheli serial thi halan ke sach ye hai ke unhon ne sab se phele saleem chishtti le likhe howe kheel ""zanjeer"" mein adakari ki",Positive
10,akki khanyani k tum v good wesy tum shkll sy bhi khesiani billi kgti ho,Negative
11,jail road pr firing se shaks janbahaq rpt m ali jokhio,Negative
12,hud hagai stupid actor hyacting ati he nahi isay@maham kiya dakh liya app nay is mein@sayra shaadi kr loo yar,Negative
13,haha thank you so much,Positive
14,pakistani cricket ki tareekh ka behtreen batsman all time grades mein kia numaya muqam ka hasiil aur pakistan cricket ko kia naya chehra dene wale javed miandad june ko karachi mein paida huwe,Positive
15,nawaz sharif ko pakro harimi police walo tum logon ki again maa me land marey ye adnan,Negative
16,kash meri maan zinda hoti,Positive
17,billion dollor se zaid akhrajat ka takhmina lagaya hai,Negative
18,kisi larki kay sat selfie lana tum hay maut ki yad dilata hay,Negative
19,namaz e zuhar hamari aamdani mein izafa karti hein,Positive
20,wasy ma sporting lahore ki team ko kr raha tha lakin #admin sb kisi py lanat ni krni cahiya,Negative
21,duoan main yad rakhay ga,Positive
22,hum sab ko milkar pakistan aur islami aqdaar ki hifazat karni hay musalmaan hony ka farz ada krein,Positive
23,dar asal in k parents bhi nachney ganey waley he hongay warna shareef log apni izat ka tamasha nah lagatey,Negative
24,mujhay tou dusri dafa sacha pyaar ho gaya hai,Positive
25,aur mein nai 😂,Negative
26,hazrat sahab dua ke darkast ha,Positive
27,in ke jaise shohar bano in ke jaise sabiq shohar bano in ke jaise bhai bano aur in ke jaise bete bano,Positive
28,hamare intellectual ise aik sub standard mawad gardantey hai lekin un mein se koi bhi ibn e safi ke takhleeqi zehan ka muqabla nahi kar sakta,Positive
29,tab aik sadabahar geet ne janam liya,Positive
30,aye logo apni aurto kosingarwala libas pahenkar gair mahramo ke samne nikalne se mana karo,Negative
31,kya bt hai,Positive
32,wo ashaar ke ilawa lafzon aur jumlon ko bhi is qadar pur kashish bana dete hain ke audience mashoor hue jate hain,Positive
33,hahahah,Positive
34,aa na zara!! judge karte he kuch logo ko 😂,Negative
35,jab last smester main arrays parhae thyn sir told us to write down these golden lines :d,Positive
36,aap ko sakht sadma howa aur kai roz tak aap dil girifta raheapni waldah ki wafat ke hawale se iqbal ne maha raja parshad ko tehrir kiya: 鄭h! isnan apni kazori ko chupane mein kis qadar taq hai,Positive
37,bht acha hai,Positive
38,ustad bare ghulam ali khan ne mosiqi ke tamam raz master inayat hussain par wa kar deye aur un ki khososi tawajah ne master inayat hussain mein ese roshni paida ki jis ka izhar unhon ne apni filmi mosiqi mein is tarah kiya ke un ke banaye howae geet amar ho gaye aur aaj bhi sune walon ke kanon mein ras gholte hain,Positive
39,maza ata hy,Positive
40,pehlay pagal kiya aur phir mujhay pathar maaray,Negative
41,wo lrki kitni buri lg rhi he na red dress me😂😂😂,Negative
42,jis ka aik song is qadar maqbool hua tha ke is ke bolon ki bazagisht aaj bhi suni ja sakti hai,Positive
43,wesay to pemra ko srif pti hi nazer ati hai baqi jo merzi kro,Negative
44,pm k sath her waqt military sectory hota hai jiska rank lfthota hai sath ssg commandos hotay hainyeh kia bakwas ker rahi haiour pm business class main nahi first class main travel kerta haisasti shuhrat k liay,Negative
45,inho ne hukomat e pakistan se tamgha e imtiaz hasil karne ke sath malika british se life time achievement award bhi hasil kiya hai,Positive
46,is tarikhi waqeye ne khawateen ki duniya badal di,Positive
47,wo muqaddar ka sikander… janemann kehlaega…,Positive
48,ban karo haram khor ko,Negative
49,mere liye wo yadgaar lamhaat the aur us film ko kabhi nahi bhula sakta,Positive
50,yehi youth hi tou pti ki taqat hy,Positive
51,lakhtee laanat zoog,Negative
52,log gariyaan band ker k be bus kharay hein,Negative
53,kabhi jao kpk pata chal jayega,Negative
54,hmari halat next lvl buri thi,Negative
55,un ki dardmandi ka andaza is baat se lagaya ja sakta hai ke dehshat gardi ke waqeyat aur mukhtalif hadsat mein halak hone walon ke bkhire aza ko mutadid martaba unhon ne apne hathon se yakja kiya,Positive
56,haan haan chor kabhi khud ko chor kehta haxd,Negative
57,ye bik gaye hay auntie,Negative
58,new episode nhi arhi q :(,Negative
59,rana sahb ko mashwra hai is team ko baech kar maronda le lainmun to mitha kary ga kam se kam,Negative
60,allah app ko app ke naslo ko apny khazano say nawazay,Positive
61,aisee h hai allah paak ki rehmatinfinite,Positive
62,m tuje intahi kutti post p mention krny lgti pr pta ni galt btton q db jaty hn,Negative
63,ap sab in sha allah duaon main shamil hain,Positive
64,o bhai tumhri post par gandi link dt hai kisi ny ude delete kro,Negative
65,hahaha mere choty veer in baton ka hi ma uper zikar kar raha hon,Positive
66,kia horaha hai es mulq ka afsos,Negative
67,lol is page waly ki dp dekh or bat kia karaha yeh,Positive
68,mein wo senate peters burg ke deputy mayor ban gae,Positive
69,isi kamiyabi se mutassir ho kar steven spielberg ne film close encounter banai jis ne box office par acha business kiya,Positive
70,ubqari k adwiyaat khany se mil jaye ga anmool khazana,Positive
71,is me ihtijaj ki kia baat he ye islami mulk he yahan par baghair kisi ihtijaji k aise programe ki ijazat kis ne di he,Negative
72,aapsay baat karne ka koi faidaa nahe you win,Negative
73,achi heat hai,Positive
74,larki ne vote ki bajaye cnic box mein dal dia,Negative
75,ap sb ki shirkat ka shukrya,Positive
76,jnb ap writen likh sakty han ap authority wise afsar han showcase letter jari kar datay allah pak ny ap ko izat di h or ak acha rutba dia h but apny mulazim ki kisi k samny insert karna galat h,Negative
77,national games aur national championship jese muqablon tak mein saholaton ka mayar intehai kharab hai,Negative
78,in ke walid ne is ki naqool apne doston mein taqseem ki aur aik copy nizaam hyderabad ko bhi bheji,Positive
79,super match,Positive
80,mere hotay huay tumhen aur koi chahiye bhi nahi:d,Negative
81,khabees is a gold digger i have always thought about it and today she has proved it😉,Negative
82,november ko police nay inhein giraftar karliya,Negative
83,kiya seriously pakistani awam ya pakistan kashmirino ko own b karti hai ya phir bus punjab he pakistan,Negative
84,phele inter schools aur inter colligate muqablon mein schools aur colleges ke talba aur talibat ki aik bari tadad sharik hoti thi ab y tadad ungliyon par gini ja sakti hai,Negative
85,masha allahallah aap ko lambi umar de,Positive
86,aain aur mazhab mein khawateen ko jo hoqoq deye gaye hain un se majida rizvi pori tarah mumain hain,Positive
87,back ground song awla ha,Positive
